,lag,corr
0,1,
1,2,
2,3,
3,4,
4,5,-0.6123724356957945
5,6,-0.5000000000000001
6,7,-0.35355339059327373
7,8,
8,9,
9,10,
10,11,
11,12,-0.21320071635561044
12,13,-0.36514837167011077
13,14,-0.47140452079103173
14,15,-0.5640760748177662
15,16,-0.3636964837266539
16,17,-0.17069718549972973
17,18,0.07784674915649335
18,19,0.3844187531556932
19,20,0.39605901719066977
20,21,0.4088797653818292
21,22,0.3868589716493315
22,23,0.33508312663335643
23,24,0.36115755925730764
24,25,0.38228969994967715
25,26,0.3998242916673402
26,27,0.41463621612470936
27,28,0.29082002724153383
28,29,0.18628991853402055
29,30,0.09671881342499579
